mid_date, v [m/yr], satellite, dt (days)
2020-12-09,3327, Sentinel 1,6
2020-05-26,3427, Sentinel 1,12
2017-06-05,3188, Sentinel 1,12
2020-08-15,3589, Sentinel 1,6
2017-10-29,3174, Sentinel 1,6
2021-05-17,2967, Sentinel 1,6
2016-08-09,3294, Sentinel 1,12
2016-10-05,3791, Sentinel 1,6
2018-07-09,3022, Sentinel 1,6
2018-07-27,3270, Sentinel 1,6
2020-08-29,3944, Sentinel 2,10
2020-06-01,3363, Sentinel 1,12
2022-04-16,3704, Sentinel 1,12
2018-07-30,3206, Sentinel 1,12
2021-08-21,3510, Sentinel 1,6
2019-07-16,3726, Sentinel 1,6
2019-07-15,3314, Sentinel 1,6
2020-07-27,3884, Sentinel 2,10
2022-05-06,3365, Sentinel 2,10
2021-04-23,3453, Sentinel 2,10
2021-07-08,3424, Sentinel 1,12
2018-07-03,3050, Sentinel 1,6
2020-09-13,3785, Sentinel 1,6
2017-05-23,2958, Sentinel 1,12
2022-04-23,3224, Sentinel 1,12
2018-07-18,3223, Sentinel 1,12
2016-04-30,3232, Sentinel 1,12
2021-04-06,3495, Sentinel 2,5
2017-09-27,3255, Sentinel 1,12
2020-11-13,3674, Sentinel 1,6
2020-08-17,4011, Sentinel 2,5
2017-05-20,2951, Sentinel 1,6
2019-02-15,3125, Sentinel 1,6
2020-07-15,3278, Sentinel 1,6
2020-06-22,3567, Sentinel 1,6
2017-07-08,3384, Sentinel 1,6
2015-06-16,3738, Sentinel 1,12
2022-09-30,3667, Sentinel 2,10
2018-09-30,3469, Sentinel 1,6
2021-09-15,3684, Sentinel 1,6
2020-05-05,3721, Sentinel 1,6
2020-07-10,3833, Sentinel 2,10
2021-05-06,3220, Sentinel 1,6
2018-12-25,3222, Sentinel 1,6
2020-05-14,3508, Sentinel 1,12
2020-04-29,3586, Sentinel 1,6
2021-09-03,3536, Sentinel 1,6
2020-05-31,3102, Sentinel 1,12
2022-06-12,3477, Sentinel 2,10
2022-09-10,3698, Sentinel 2,10
2017-10-18,3863, Sentinel 1,6
2019-07-25,3524, Sentinel 1,12
2017-10-09,3586, Sentinel 1,12
2020-07-07,3840, Sentinel 2,10
2021-01-26,4099, Sentinel 1,6
2021-05-11,3437, Sentinel 2,5
2022-09-08,3750, Sentinel 2,5
2017-08-12,3309, Sentinel 1,6
2017-11-05,3607, Sentinel 1,6
2022-05-11,3335, Sentinel 2,5
2018-04-16,3189, Sentinel 1,6
2020-08-08,3292, Sentinel 1,6
2018-10-12,3602, Sentinel 1,6
2019-08-12,3973, Sentinel 2,10
2022-03-29,3348, Sentinel 2,10
2021-05-29,3006, Sentinel 1,6
2020-06-30,3203, Sentinel 1,12
2022-05-01,3425, Sentinel 2,5
2020-08-06,3878, Sentinel 2,10
2019-08-06,3558, Sentinel 1,12
2021-09-23,3850, Sentinel 2,5
2021-09-08,3252, Sentinel 1,6
2020-09-08,3504, Sentinel 1,6
2021-07-21,3652, Sentinel 1,12
2020-09-20,3585, Sentinel 1,6
2019-04-05,3353, Sentinel 1,6
2021-12-20,3358, Sentinel 1,6
2022-07-15,3517, Sentinel 2,10
2021-01-14,3786, Sentinel 1,6
2022-06-03,2978, Sentinel 1,12
2019-09-07,3489, Sentinel 1,6
2021-05-16,3540, Sentinel 2,5
2019-05-02,3163, Sentinel 1,12
2020-10-07,3637, Sentinel 1,6
2019-10-19,3897, Sentinel 2,5
2021-07-16,3604, Sentinel 1,6
2021-09-18,3922, Sentinel 2,5
2015-07-10,3738, Sentinel 1,12
2017-07-25,3394, Sentinel 1,6
2017-09-18,3634, Sentinel 1,6
2020-11-15,2989, Sentinel 1,12
2020-06-24,3240, Sentinel 1,12
2021-11-07,3830, Sentinel 2,5
2020-08-19,3980, Sentinel 2,10
2016-06-11,3540, Sentinel 2,10
2017-11-10,3460, Sentinel 1,6
2018-06-14,3138, Sentinel 1,6
2018-06-12,3140, Sentinel 1,12
2018-10-13,3689, Sentinel 1,6
2022-08-09,3211, Sentinel 1,12
2020-06-18,3106, Sentinel 1,12
2020-05-23,3505, Sentinel 1,6
2019-01-18,3828, Sentinel 1,6
2016-09-29,3659, Sentinel 1,6
2020-07-27,3451, Sentinel 1,6
2021-06-15,3370, Sentinel 1,12
2017-08-07,3836, Sentinel 2,10
2021-07-25,4091, Sentinel 2,10
2020-10-06,3731, Sentinel 2,5
2017-07-29,4180, Sentinel 2,5
2021-09-23,3046, Sentinel 1,12
2019-07-07,3214, Sentinel 1,12
2021-09-01,3954, Sentinel 2,5
2018-09-01,3465, Sentinel 1,6
2020-07-30,3424, Sentinel 1,12
2019-10-13,3692, Sentinel 1,6
2022-04-11,3420, Sentinel 1,12
2019-09-19,3761, Sentinel 1,6
2020-12-14,4056, Sentinel 1,6
2020-02-05,3831, Sentinel 1,6
2019-06-01,3203, Sentinel 1,12
2019-06-30,3105, Sentinel 1,12
2017-06-20,3304, Sentinel 1,6
2019-01-13,4042, Sentinel 1,6
2021-04-12,3369, Sentinel 1,6
2017-09-20,3660, Sentinel 1,12
2021-06-05,3571, Sentinel 2,10
2018-06-08,2919, Sentinel 1,6
2020-06-09,3368, Sentinel 1,6
2019-09-08,3575, Sentinel 1,6
2020-05-17,3516, Sentinel 1,6
2021-08-19,3533, Sentinel 1,12
2022-06-05,3465, Sentinel 2,5
2016-05-29,2929, Sentinel 1,12
2017-05-12,3241, Sentinel 1,12
2021-02-17,3158, Sentinel 1,6
2022-10-18,3705, Sentinel 2,5
2017-06-06,3667, Sentinel 2,10
2020-10-25,3878, Sentinel 1,6
2021-04-11,3502, Sentinel 2,5
2021-10-08,3856, Sentinel 1,6
2020-07-15,3762, Sentinel 2,5
2022-06-20,3509, Sentinel 2,5
2021-07-23,3514, Sentinel 1,6
2018-08-14,3454, Sentinel 1,6
2017-10-05,3168, Sentinel 1,6
2021-07-17,3757, Sentinel 1,6
2019-04-25,2905, Sentinel 1,12
2020-09-11,3321, Sentinel 1,12
2019-07-16,3861, Sentinel 2,5
2017-08-21,3089, Sentinel 1,12
2017-11-11,3695, Sentinel 1,6
2018-06-03,3112, Sentinel 1,6
2019-09-14,3724, Sentinel 1,6
2021-07-27,4091, Sentinel 2,10
2022-06-23,3465, Sentinel 2,5
2019-07-22,3818, Sentinel 1,6
2018-05-22,3078, Sentinel 1,6
2017-06-26,3360, Sentinel 1,6
2020-08-02,3536, Sentinel 1,6
2016-04-16,3198, Sentinel 1,12
2018-09-12,3293, Sentinel 1,6
2019-08-25,4056, Sentinel 2,10
2020-05-02,3477, Sentinel 1,12
2022-07-20,3584, Sentinel 2,5
2022-07-25,3635, Sentinel 2,10
2022-09-13,3656, Sentinel 2,5
2020-08-25,3848, Sentinel 1,12
2016-03-25,3741, Sentinel 1,12
2020-07-04,3345, Sentinel 1,6
2016-08-28,3542, Sentinel 1,12
2017-06-01,3090, Sentinel 1,6
2018-08-02,3542, Sentinel 1,6
2016-03-13,3567, Sentinel 1,12
2016-06-05,3314, Sentinel 1,12
2019-09-25,3631, Sentinel 1,6
2019-04-11,3796, Sentinel 1,6
2019-12-24,3239, Sentinel 1,6
2021-06-14,3203, Sentinel 1,12
2021-10-05,3813, Sentinel 2,10
2019-06-19,3461, Sentinel 1,12
2020-08-24,3954, Sentinel 2,5
2018-10-06,3218, Sentinel 1,6
2021-08-02,3483, Sentinel 1,12
2019-01-16,3600, Sentinel 1,6
2018-08-25,3097, Sentinel 1,6
2019-10-01,3532, Sentinel 1,6
2021-08-03,3324, Sentinel 1,6
2022-10-03,3703, Sentinel 2,5
2022-04-04,3421, Sentinel 2,5
2019-08-15,3488, Sentinel 1,6
2021-06-22,3709, Sentinel 2,10
2020-05-04,3679, Sentinel 1,6
2020-07-25,3491, Sentinel 1,12
2016-10-11,3679, Sentinel 1,6
2020-05-22,3261, Sentinel 1,6
2018-08-20,3718, Sentinel 2,5
2019-03-24,3299, Sentinel 1,6
2021-11-01,2870, Sentinel 1,6
2018-01-09,3253, Sentinel 1,6
2019-08-08,4011, Sentinel 2,5
2016-05-12,3488, Sentinel 2,10
2017-05-27,3417, Sentinel 1,6
2020-09-25,3371, Sentinel 1,6
2020-04-22,3602, Sentinel 1,6
2022-05-22,3083, Sentinel 1,12
2021-05-14,3025, Sentinel 1,12
2019-08-14,3348, Sentinel 1,6
2019-01-06,3530, Sentinel 1,6
2017-10-17,3749, Sentinel 1,6
