mid_date, v [m/yr], satellite, dt (days)
2018-04-27,2091, Sentinel 1,6
2019-05-29,1939, Sentinel 1,6
2017-09-20,2265, Sentinel 1,12
2019-12-26,2072, Sentinel 1,6
2020-10-14,2204, Sentinel 1,6
2019-11-07,1914, Sentinel 1,6
2020-01-14,2243, Sentinel 1,6
2021-10-16,2056, Sentinel 2,5
2016-10-11,2340, Sentinel 1,6
2016-07-11,2324, Sentinel 2,10
2019-06-01,2220, Sentinel 2,5
2020-06-20,2379, Sentinel 2,10
2018-10-24,1474, Sentinel 1,6
2022-09-28,2291, Sentinel 2,5
2020-04-29,2383, Sentinel 1,6
2021-07-25,2428, Sentinel 2,5
2017-07-02,2310, Sentinel 1,6
2018-11-05,1647, Sentinel 1,6
2017-01-10,1621, Sentinel 1,6
2018-10-29,2087, Sentinel 2,10
2016-11-13,2388, Sentinel 1,12
2020-07-15,2482, Sentinel 2,5
2015-10-14,1972, Sentinel 1,12
2022-06-30,2363, Sentinel 2,5
2018-11-01,1786, Sentinel 2,5
2018-06-27,1804, Sentinel 1,6
2022-04-01,2340, Sentinel 2,10
2017-10-23,1939, Sentinel 1,6
2021-06-20,2548, Sentinel 2,5
2020-12-24,1574, Sentinel 1,6
2021-05-03,2355, Sentinel 2,10
2017-08-19,2280, Sentinel 1,6
2017-12-28,1577, Sentinel 1,6
2018-08-22,2254, Sentinel 2,10
2020-06-04,1976, Sentinel 1,6
2016-06-01,2210, Sentinel 2,10
2022-07-27,2508, Sentinel 2,10
2021-04-16,2331, Sentinel 2,10
2020-07-12,1553, Sentinel 1,12
2019-01-13,1918, Sentinel 1,6
2019-09-13,2147, Sentinel 1,6
2018-09-01,2281, Sentinel 1,6
2020-07-13,2335, Sentinel 2,5
2021-07-23,2413, Sentinel 2,5
2021-09-10,2349, Sentinel 2,10
2016-11-10,1871, Sentinel 1,6
2018-08-05,2074, Sentinel 1,12
2021-09-20,2111, Sentinel 1,6
2022-06-28,2558, Sentinel 2,5
2021-07-30,2512, Sentinel 2,5
2020-08-06,2504, Sentinel 2,10
2017-07-05,1017, Sentinel 1,12
2020-06-27,2469, Sentinel 2,10
2020-10-06,2178, Sentinel 2,5
2019-08-07,2492, Sentinel 2,10
2021-07-27,2590, Sentinel 2,10
2017-05-27,2112, Sentinel 1,6
2019-10-19,2200, Sentinel 2,5
2019-07-21,2348, Sentinel 1,6
2021-11-04,2260, Sentinel 2,10
2020-08-21,2851, Sentinel 1,6
2017-11-10,2448, Sentinel 1,6
2022-03-30,2139, Sentinel 2,5
2021-08-18,565, Sentinel 1,12
2019-10-13,1861, Sentinel 1,6
2021-06-15,2480, Sentinel 2,10
2018-07-27,2594, Sentinel 1,6
2021-09-03,2558, Sentinel 1,6
2021-07-03,2988, Sentinel 2,5
2019-08-25,2454, Sentinel 2,10
2021-05-24,2036, Sentinel 1,6
2018-09-13,2259, Sentinel 1,6
2022-04-28,1908, Sentinel 1,12
2021-04-16,2334, Sentinel 2,10
2022-09-26,1920, Sentinel 1,12
2022-05-06,2284, Sentinel 2,10
2022-05-15,2234, Sentinel 1,12
2021-06-16,2129, Sentinel 1,6
2018-04-15,2196, Sentinel 1,6
2019-03-18,1517, Sentinel 1,6
2021-05-23,2250, Sentinel 1,6
2021-10-08,2284, Sentinel 2,10
2021-08-22,2125, Sentinel 1,6
2016-12-24,1746, Sentinel 1,12
2020-10-05,1705, Sentinel 1,12
2017-04-21,2976, Sentinel 1,6
2022-04-26,2220, Sentinel 2,5
2020-08-24,2489, Sentinel 2,5
2019-09-29,1893, Sentinel 1,12
2019-08-26,2109, Sentinel 1,6
2016-06-11,2279, Sentinel 2,10
2018-09-12,2147, Sentinel 1,6
2022-06-27,2510, Sentinel 2,10
2021-09-01,2412, Sentinel 2,5
2022-05-17,3029, Sentinel 1,12
2022-05-10,2592, Sentinel 1,12
2017-06-02,1897, Sentinel 1,6
2021-04-26,2426, Sentinel 2,10
2019-08-05,2395, Sentinel 2,5
2019-04-29,1901, Sentinel 1,6
2022-09-14,2125, Sentinel 1,12
2022-09-13,2354, Sentinel 2,5
2020-06-25,2710, Sentinel 1,12
2020-09-01,2119, Sentinel 1,6
2019-04-05,2412, Sentinel 1,6
2017-09-17,1987, Sentinel 1,6
2017-11-11,2053, Sentinel 1,6
2017-06-06,2208, Sentinel 2,10
2022-07-25,2503, Sentinel 2,5
2020-09-22,419, Sentinel 1,12
2017-09-09,2697, Sentinel 1,12
2017-07-13,1975, Sentinel 1,6
2022-05-03,2302, Sentinel 2,10
2018-06-03,1992, Sentinel 1,6
2019-07-11,2427, Sentinel 2,5
2018-07-06,2760, Sentinel 1,12
2018-10-27,2260, Sentinel 2,5
2022-05-09,2179, Sentinel 2,5
2017-01-14,1853, Sentinel 1,6
2021-09-10,2449, Sentinel 2,10
2016-10-29,2117, Sentinel 2,10
2022-08-16,2504, Sentinel 2,10
2020-01-01,2224, Sentinel 1,6
2022-06-22,2534, Sentinel 2,10
2021-05-06,2292, Sentinel 2,5
2020-12-20,1913, Sentinel 1,6
2017-09-29,2065, Sentinel 1,6
2021-06-05,2440, Sentinel 2,10
2021-03-12,2135, Sentinel 1,6
2020-12-08,2402, Sentinel 1,6
2020-08-08,1782, Sentinel 1,6
2022-06-03,2366, Sentinel 2,5
2018-05-22,1954, Sentinel 1,6
2018-06-13,2139, Sentinel 2,10
2018-08-31,2150, Sentinel 1,6
2016-04-18,2408, Sentinel 1,12
2018-08-08,2249, Sentinel 2,5
2020-05-13,2292, Sentinel 1,12
2017-11-13,1812, Sentinel 1,12
2020-08-15,2604, Sentinel 1,6
2017-08-30,1998, Sentinel 1,6
2019-11-08,2205, Sentinel 2,10
2019-06-19,3225, Sentinel 1,12
2015-10-02,3361, Sentinel 1,12
2017-04-09,2244, Sentinel 1,6
2021-09-20,2745, Sentinel 2,10
2016-12-16,2100, Sentinel 1,6
2022-07-02,2505, Sentinel 2,10
2020-04-22,1820, Sentinel 1,6
2017-08-25,2619, Sentinel 1,6
2019-03-17,1825, Sentinel 1,6
2020-05-07,2425, Sentinel 1,12
2021-07-18,2629, Sentinel 2,5
2022-08-22,2395, Sentinel 2,5
2022-04-04,2323, Sentinel 2,5
2017-07-31,2178, Sentinel 2,5
2019-08-03,2985, Sentinel 1,6
2021-06-04,2230, Sentinel 1,6
2017-08-03,2055, Sentinel 2,5
2019-08-25,2439, Sentinel 2,10
2020-11-06,1806, Sentinel 1,6
2021-07-20,2542, Sentinel 2,5
2020-09-16,2146, Sentinel 1,12
2019-07-09,2298, Sentinel 1,6
2017-08-10,2231, Sentinel 2,10
2018-12-22,1521, Sentinel 1,12
2020-05-08,2487, Sentinel 1,12
2018-08-30,2173, Sentinel 2,5
2019-01-17,2309, Sentinel 1,6
2018-07-14,2315, Sentinel 1,6
2021-05-14,1917, Sentinel 1,12
2019-08-12,2462, Sentinel 2,10
2016-10-05,2239, Sentinel 1,6
2019-10-25,1919, Sentinel 1,6
2020-05-26,1932, Sentinel 1,12
2019-12-30,1831, Sentinel 1,6
2022-05-26,2408, Sentinel 2,10
2019-05-29,2227, Sentinel 2,10
2019-12-20,2137, Sentinel 1,6
2020-05-22,2399, Sentinel 1,6
2017-10-05,2037, Sentinel 1,6
2020-06-09,2271, Sentinel 1,6
2019-10-07,2158, Sentinel 1,6
2022-06-22,2510, Sentinel 2,10
2021-01-06,2318, Sentinel 1,6
2022-05-24,2262, Sentinel 2,5
2017-08-06,2165, Sentinel 1,6
2018-04-22,2275, Sentinel 1,6
2021-10-06,2942, Sentinel 1,12
2019-08-02,2307, Sentinel 1,6
2019-09-17,4254, Sentinel 1,12
2021-09-08,2344, Sentinel 2,5
2022-08-06,2512, Sentinel 2,10
2019-05-26,2014, Sentinel 1,12
2021-08-03,1988, Sentinel 1,6
2021-06-13,2407, Sentinel 2,5
2020-12-15,1027, Sentinel 1,6
2020-04-08,2383, Sentinel 2,10
2021-06-18,2379, Sentinel 2,5
2021-04-30,2040, Sentinel 1,6
2016-05-12,2170, Sentinel 2,10
2021-07-16,2782, Sentinel 1,6
2022-05-16,2420, Sentinel 2,10
2021-07-22,2636, Sentinel 2,10
2021-09-23,2209, Sentinel 2,5
2017-05-14,2162, Sentinel 1,6
2018-09-18,2017, Sentinel 1,6
2019-01-05,2209, Sentinel 1,6
2021-07-10,2334, Sentinel 1,6
2020-09-08,1800, Sentinel 1,6
2021-08-09,3041, Sentinel 1,6
2020-05-14,3596, Sentinel 1,12
2021-07-23,2385, Sentinel 2,5
2020-07-18,2456, Sentinel 2,5
2020-08-09,2344, Sentinel 2,5
2016-04-29,2097, Sentinel 2,10
2016-05-29,1767, Sentinel 1,12
2021-08-16,1710, Sentinel 1,6
2022-08-17,2448, Sentinel 2,5
2019-08-15,2395, Sentinel 2,5
2021-06-13,2370, Sentinel 2,5
2017-07-01,1649, Sentinel 1,6
2020-06-30,2324, Sentinel 1,12
2018-08-30,2178, Sentinel 2,5
2020-09-20,2031, Sentinel 1,6
2021-09-03,2474, Sentinel 2,10
2020-08-11,2534, Sentinel 1,12
2022-10-03,2239, Sentinel 2,5
2018-10-31,2312, Sentinel 1,6
2020-07-08,2395, Sentinel 2,5
2021-04-06,2199, Sentinel 2,5
2021-12-07,1745, Sentinel 1,6
2018-08-25,2273, Sentinel 2,5
2019-07-08,2540, Sentinel 2,10
2017-10-17,2010, Sentinel 1,6
2016-12-29,2085, Sentinel 1,6
2021-01-13,2062, Sentinel 1,6
2017-06-20,2393, Sentinel 1,6
2018-07-02,1966, Sentinel 1,6
2020-07-15,2483, Sentinel 2,10
2016-04-16,2478, Sentinel 1,12
2018-04-29,2222, Sentinel 2,10
2021-09-21,2163, Sentinel 2,5
2018-08-25,1981, Sentinel 1,6
2021-04-11,2292, Sentinel 2,5
2020-06-15,2098, Sentinel 1,6
2021-05-13,2431, Sentinel 2,10
2019-09-26,2448, Sentinel 1,6
2020-07-16,1960, Sentinel 1,6
2021-10-03,2334, Sentinel 2,10
2018-07-21,2240, Sentinel 2,5
2019-01-29,1335, Sentinel 1,6
2020-05-16,2317, Sentinel 1,6
2022-06-27,2538, Sentinel 2,10
2017-07-08,2203, Sentinel 1,6
2016-05-17,2874, Sentinel 1,12
2018-07-11,2448, Sentinel 2,10
2018-06-11,1950, Sentinel 2,5
2020-05-25,858, Sentinel 1,12
2018-02-11,1459, Sentinel 1,6
2021-06-28,2682, Sentinel 1,6
2019-06-09,2041, Sentinel 1,6
2021-07-12,2733, Sentinel 2,10
2019-09-05,1989, Sentinel 1,12
2016-05-24,2346, Sentinel 1,12
2020-03-24,2190, Sentinel 1,6
2021-04-03,1861, Sentinel 2,10
2018-12-25,1651, Sentinel 1,6
2021-05-17,1897, Sentinel 1,6
2020-05-11,2984, Sentinel 1,6
2021-09-28,2370, Sentinel 2,10
2019-04-22,1800, Sentinel 1,6
2018-07-14,2325, Sentinel 2,5
2017-09-14,2043, Sentinel 1,12
2017-10-19,2112, Sentinel 2,10
2017-08-07,2262, Sentinel 1,6
2019-08-30,2370, Sentinel 2,5
2022-04-23,2382, Sentinel 2,10
2018-02-03,1260, Sentinel 1,6
2019-06-22,2234, Sentinel 1,6
2019-03-10,2054, Sentinel 2,10
2019-08-09,2307, Sentinel 1,6
